V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0.137514091,0.13038656,0.144096149,0.13691407,0.13244118,0.138041383,0.143114295,0.140841485,0.143532492,0.13016837,0,0.14138696,0.14329612,0.138695953,0.142732463,0.138950507,0.140096003,0.146078039,0.142114259,0.13647769,0.141005127,0.144350704,0.1362595,0.12738645,0.139986909,0.137132259,0.140641478,0.138859595,0.141296047,0.132841194,0.137714099,0.143841594,0.142714281,0.14080512,0.137332267,0.13178661,0.13889596,0.145696207,0.136241318,0.149259973,0.129222881,0.130659297,0.143387032,0.138168661,0.133568493,0.139132332,0.130968399,0.134750355,0.136895887,0.138477763
0.14733263,0.138077748,0.142641551,0.113949598,0.130822939,0.143423397,0.131641151,0.149296338,0.135877668,0.141950616,0.14138696,0,0.142350631,0.137750464,0.145187098,0.129295611,0.148914506,0.140096003,0.14498709,0.139714171,0.143859777,0.14776901,0.137077712,0.147023528,0.137223172,0.146132587,0.140059639,0.141077857,0.134986727,0.135641296,0.136950435,0.14116877,0.137368632,0.132695734,0.14073239,0.141586967,0.140605113,0.138586858,0.140459653,0.150914579,0.139677806,0.147459908,0.135059457,0.14791447,0.145005273,0.14960544,0.141768792,0.139295974,0.143059748,0.138095931
0.137114077,0.129931998,0.134877632,0.133332121,0.132677552,0.13647769,0.134404887,0.129604713,0.139841449,0.139950544,0.14329612,0.142350631,0,0.134695807,0.134932179,0.126131859,0.131150224,0.137586821,0.129313793,0.135441289,0.133532128,0.140532383,0.134695807,0.142241536,0.122113531,0.136059493,0.135586749,0.138295938,0.13427761,0.132332085,0.131332048,0.134241245,0.134150333,0.135659479,0.133732136,0.139550529,0.13633223,0.137241354,0.142332448,0.128531947,0.134732172,0.148623586,0.133532128,0.131113859,0.144077966,0.141732427,0.142659733,0.136604967,0.129041056,0.128459217
0.136895887,0.135514019,0.131259319,0.138986872,0.133841231,0.135477654,0.136659515,0.136350413,0.13618677,0.136859522,0.138695953,0.137750464,0.134695807,0,0.144477981,0.135750391,0.13471399,0.142423361,0.135168552,0.134404887,0.130350195,0.145259828,0.141114222,0.14307793,0.139532347,0.132386632,0.13185934,0.13904142,0.137568639,0.12767737,0.135750391,0.142405178,0.136641332,0.121258955,0.13442307,0.139259609,0.137041347,0.140132368,0.131441143,0.13911415,0.139659624,0.1472599,0.144496163,0.141805157,0.141277865,0.143968872,0.135623114,0.138132296,0.134186698,0.135332194
0.134023055,0.138332303,0.140150551,0.136950435,0.130441107,0.143859777,0.13405942,0.145878032,0.134332158,0.135059457,0.142732463,0.145187098,0.134932179,0.144477981,0,0.135914033,0.139386887,0.140223281,0.134604895,0.140205098,0.131386596,0.139677806,0.12555002,0.140368741,0.134877632,0.141277865,0.13456853,0.143477945,0.144696171,0.137623186,0.140368741,0.136095858,0.135459471,0.138586858,0.136532238,0.146314411,0.144877996,0.143932507,0.134513982,0.136423143,0.139350522,0.146805338,0.134823084,0.132168442,0.130841121,0.149023601,0.139877814,0.140096003,0.140532383,0.134623077
0.138405033,0.133568493,0.126677334,0.128877414,0.132823012,0.135186734,0.135350376,0.136132223,0.126222772,0.130822939,0.138950507,0.129295611,0.126131859,0.135750391,0.135914033,0,0.140896033,0.131477508,0.138568675,0.138441398,0.133877596,0.145441652,0.131041129,0.138150478,0.126677334,0.141623332,0.142532456,0.141005127,0.122131714,0.12753191,0.128731954,0.139714171,0.131586603,0.133023019,0.134241245,0.135695843,0.133677588,0.139895996,0.134623077,0.141714244,0.131022946,0.14131423,0.126277319,0.136968617,0.141732427,0.144259791,0.137605004,0.131404778,0.139950544,0.13251391
0.140059639,0.135332194,0.138095931,0.127204626,0.139023237,0.141768792,0.132313902,0.128168297,0.146023492,0.145259828,0.140096003,0.148914506,0.131150224,0.13471399,0.139386887,0.140896033,0,0.136732245,0.134895814,0.142259719,0.134186698,0.143314302,0.13882323,0.147969017,0.137968653,0.130732027,0.141041492,0.136641332,0.139714171,0.131913888,0.132550275,0.133932143,0.139314157,0.146732608,0.144405251,0.139441434,0.131895705,0.138005018,0.134150333,0.137859559,0.139132332,0.138059566,0.137914106,0.140859668,0.146859886,0.14095058,0.135841303,0.136532238,0.134841267,0.13038656
0.145096185,0.136004946,0.134932179,0.137932288,0.135423106,0.136241318,0.145041638,0.137259537,0.135023092,0.135986763,0.146078039,0.140096003,0.137586821,0.142423361,0.140223281,0.131477508,0.136732245,0,0.134223063,0.129750173,0.133768501,0.133623041,0.141077857,0.150169097,0.137623186,0.137077712,0.140532383,0.14087785,0.144532528,0.136132223,0.135132187,0.142259719,0.139877814,0.143987054,0.141186952,0.145005273,0.140314193,0.140223281,0.134023055,0.141750609,0.138659588,0.142150624,0.135895851,0.137386814,0.134695807,0.146078039,0.133295756,0.139459617,0.140386923,0.12818648
0.140914215,0.138132296,0.127695553,0.135186734,0.131222954,0.137695916,0.143059748,0.132841194,0.133695771,0.130532019,0.142114259,0.14498709,0.129313793,0.135168552,0.134604895,0.138568675,0.134895814,0.134223063,0,0.141459689,0.125586385,0.137459544,0.140459653,0.138477763,0.139386887,0.133913961,0.134913997,0.140114186,0.126095494,0.134295793,0.136204953,0.139332339,0.136895887,0.143059748,0.133623041,0.140496018,0.142150624,0.14073239,0.139532347,0.138005018,0.135023092,0.139568712,0.145732572,0.133077566,0.12569548,0.138477763,0.134895814,0.130568384,0.135914033,0.135877668
0.135859486,0.137714099,0.138041383,0.13838685,0.127950107,0.139277792,0.138095931,0.139314157,0.135041274,0.137259537,0.13647769,0.139714171,0.135441289,0.134404887,0.140205098,0.138441398,0.142259719,0.129750173,0.141459689,0,0.142714281,0.138241391,0.13193207,0.139677806,0.139459617,0.135823121,0.143677952,0.140241463,0.144514346,0.137877741,0.137768646,0.134968544,0.142496091,0.129895633,0.141132405,0.141150587,0.141823339,0.143387032,0.138805047,0.141641514,0.137786829,0.148841776,0.137495909,0.132332085,0.140823303,0.152150987,0.128331939,0.133150296,0.134241245,0.131968435
